,manufacturer
1025,Fruition
913,Fossa
1594,Middlebury
922,Fossa
1825,Patric
2457,Willie's Cacao
2031,Santander (Compania Nacional)
849,Encuentro
1361,Land
2057,Seahorse
2020,S.A.I.D.
1091,Guittard
1266,Kaitxo
1903,Pralus
183,Atypic
1254,Kah Kow
57,Alexandre
2443,White Label aka Mutari
2113,"Smooth Chocolator, The"
2295,Tejas
1866,Pollinator
1662,Naive
721,Dean and Deluca (Belcolade)
2521,Zotter
1957,Raphio
152,Arete
614,Coppeneur
791,Dormouse
1922,Pura Delizia
2449,Wilkie's Organic
769,Domori
564,Chocovic
439,Cao
2397,Valrhona
2422,Vietcacao (A. Morin)
2170,Soma
394,Cacao Hunters
2137,Soma
61,Altus aka Cao Artisan
2433,Vivra
918,Fossa
1170,Holy Cacao
113,Anahata
1129,Hecho
1573,Meybol
811,Duffy's
84,Amatller (Simon Coll)
507,Chequessett
784,Domori
499,Chaleur B
824,East Van Roasters
530,Chocolate Con Amor
444,Caofiori
388,Cacao de Origen
1712,Oakland Chocolate Co.
242,Beschle (Felchlin)
802,Duffy's
1563,Mesocacao
1534,Mast Brothers
804,Duffy's
281,Blanxart
1504,Marou
2404,Vao Vao (Chocolaterie Robert)
1514,Martin Mayer
2236,Svenska Kakaobolaget
1813,Pangea
2475,Xocolat
30,A. Morin
326,Bowler Man
95,Amedei
702,DAR
1601,Mike & Becky
1458,Manifesto Cacao
2212,Spinnaker
1796,Palette de Bine
1858,Pitch Dark
1443,Maglio
649,Cultura
1630,Moka Origins
2339,Tocoti
2214,Sprungli (Felchlin)
25,A. Morin
2089,Sirene
1553,Meadowlands
1357,L'Amourette
2348,Triangle Roasters
2487,Zacharias
125,Arete
1250,Kad Kokoa
1137,Heirloom Cacao Preservation (Guittard)
36,Acalli
937,Franceschi
2472,Woodblock
556,Chocotenango
2483,Xocolla
744,Dick Taylor
1552,Meadowlands
1020,Friis Holm (Bonnat)
2490,Zak's
2312,Terroir
861,Escazu
1887,Pralus
1258,Kah Kow
1319,La Chocolaterie Nanairo
270,Bixby
459,CAR Artisan
361,Burnt Fork Bend
52,Alain Ducasse
558,Chocovic
122,Arete
1220,Idilio (Felchlin)
192,Bahen & Co.
873,Ethereal
376,Cacao Barry
1142,Heirloom Cacao Preservation (Mindo)
1284,Kin + Pod
1070,Great Lakes
