,id
1352,1642
14,1015
1548,2474
615,220
2174,1307
1529,999
1870,2582
489,2314
1429,284
1721,1760
1363,2048
466,1888
2151,951
958,370
178,175
2024,288
1783,863
2082,729
870,666
625,558
1798,1570
1486,2262
1946,470
2233,1800
771,192
1533,1450
1608,2570
1355,927
1003,2130
2305,833
799,523
1622,2458
1353,1638
1421,2506
1785,1415
172,1193
162,363
2025,288
706,1550
293,81
969,931
1530,999
1667,1379
160,355
2326,162
442,1808
409,537
840,439
1488,2040
1740,457
200,2294
2068,1466
1566,1494
1246,2104
323,341
2377,2478
9,1011
1299,1426
2402,404
515,1696
2250,761
2165,1077
2467,741
1515,1836
1637,1618
2513,647
1433,693
581,2314
1746,688
663,805
2503,1780
1739,2142
989,2708
1968,891
697,987
202,983
2417,1227
1728,2494
1939,1800
543,1582
1153,1550
1879,1820
1872,2586
1890,162
1306,1363
2093,1860
1684,1526
2187,2242
962,688
2275,1868
1970,1089
1865,2530
1550,1287
2267,1101
1940,785
1470,871
678,2178
1585,2270
476,1153
446,2558
807,623
1620,1960
2350,2530
1417,2506
728,2222
781,693
580,2226
787,2040
891,1287
842,1662
2065,2366
662,2574
283,911
2256,1185
1701,935
711,907
566,1522
2202,793
1360,1784
896,2478
633,971
1565,1494
957,370
